date,numOccurrences
2015-01,1454
2015-02,1217
2015-03,6184
2015-04,1794
2015-05,1097
2015-06,1666
2015-07,2210
2015-08,4579
2015-09,2246
2015-10,9276
2015-11,2494
2015-12,12880
2016-01,544
2016-02,3324
2016-03,27
2016-04,1721
2016-05,9949
2016-06,321
2016-07,6748
2016-08,13468
2016-09,3756
2016-10,20
2016-11,564
2016-12,2292
2017-01,173
2017-02,1094
2017-03,4195
2017-04,4891
2017-05,1834
2017-06,8653
2017-07,3164
2017-08,2482
2017-09,2184
2017-10,16983
2017-11,9709
2017-12,6538
2018-01,3666
2018-02,32078
2018-03,34528
2018-04,8736
2018-05,12002
2018-06,4435
2018-07,5707
2018-08,4833
2018-09,3052
2018-10,3570
2018-11,5337
2018-12,2129
2019-01,2726
2019-02,4410
2019-03,4395
2019-04,3298
2019-05,2848
2019-06,3773
2019-07,2597
2019-08,15330
2019-09,5987
2019-10,3617
2019-11,3832
2019-12,3737
2020-01,3138
2020-02,3723
2020-03,2203
2020-04,299
